,Brand Name,Gender,MRP,Selling Price,Discount Percent,Rating,Discount Amount,Price_Category,Rating_Category,Usage_Type
82,SPARX,Men,2199,1149,48,3.9,1050,Low-Mid,Average,Casual
83,Neeman's,Women,1799,2150,48,4.1,-351,Mid,Good,Casual
84,U.S. Polo Assn.,Women,2499,947,70,4.2,1552,Budget,Good,Casual
85,Campus,Unisex,2799,1789,70,4.4,1010,Low-Mid,Good,Running
86,ASIAN,Men,3099,2204,74,4.3,895,Mid,Good,Unknown
87,U.S. Polo Assn.,Men,1499,1399,74,4.5,100,Low-Mid,Good,Casual
88,U.S. Polo Assn.,Men,4799,1849,53,4.1,2950,Low-Mid,Good,Casual
89,new balance,Men,3799,1399,53,3.7,2400,Low-Mid,Average,Unknown
90,PUMA,Men,6499,799,50,3.9,5700,Budget,Average,Casual
91,Reebok,Men,7499,919,50,3.5,6580,Budget,Average,Casual
92,Campus,Men,4599,6999,54,4.0,-2400,Premium,Average,Casual
93,SPARX,Men,2599,773,54,3.5,1826,Budget,Average,Casual
94,Campus,Men,1799,949,52,4.4,850,Budget,Good,Casual
95,Lotto,Unknown,4499,1899,52,4.2,2600,Low-Mid,Good,Unknown
96,PUMA,Unknown,5499,1389,32,3.7,4110,Low-Mid,Average,Casual
97,Bata,Men,1499,743,32,4.0,756,Budget,Average,Unknown
98,new balance,Unisex,7499,2399,65,4.1,5100,Mid,Good,Casual
99,The Souled Store,Men,2899,2132,65,2.7,767,Mid,Poor,Casual
100,Skechers,Women,5999,3708,66,4.1,2291,Upper-Mid,Good,Casual
101,U.S. Polo Assn.,Women,4799,2989,66,4.1,1810,Mid,Good,Casual
102,PUMA,Women,5499,2233,47,4.4,3266,Mid,Good,Casual
103,U.S. Polo Assn.,Men,3799,1229,47,4.0,2570,Low-Mid,Average,Casual
104,U.S. Polo Assn.,Unisex,3999,1099,70,4.2,2900,Low-Mid,Good,Unknown
105,Woodland,Men,3595,1574,70,3.9,2021,Low-Mid,Average,Casual
106,PUMA,Men,6999,1999,70,4.1,5000,Low-Mid,Good,Unknown
107,PUMA,Men,6499,1004,70,4.4,5495,Low-Mid,Good,Casual
108,U.S. Polo Assn.,Men,3699,3759,57,4.0,-60,Upper-Mid,Average,Unknown
109,U.S. Polo Assn.,Unknown,3799,2349,57,4.1,1450,Mid,Good,Casual
110,PUMA,Unisex,5999,3359,63,3.7,2640,Upper-Mid,Average,Casual
111,new balance,Women,7499,2399,63,5.0,5100,Mid,Excellent,Casual
112,U.S. Polo Assn.,Men,3799,2774,63,4.3,1025,Mid,Good,Unknown
113,U.S. Polo Assn.,Men,3499,2624,63,5.0,875,Mid,Excellent,Casual
114,PUMA,Unisex,5499,2087,80,3.9,3412,Mid,Average,Unknown
115,PUMA,Unisex,4999,2147,80,3.5,2852,Mid,Average,Unknown
116,Lotto,Women,4999,2494,66,3.4,2505,Mid,Average,Unknown
117,Bacca Bucci,Men,2499,2730,66,4.0,-231,Mid,Average,Casual
118,Boldfit,Unisex,2799,2405,74,4.5,394,Mid,Good,Unknown
119,Campus,Men,2499,1982,74,4.2,517,Low-Mid,Good,Casual
120,Bacca Bucci,Women,3499,2880,51,4.7,619,Mid,Excellent,Casual
121,Cruiser,Women,3499,4102,51,4.0,-603,Upper-Mid,Average,Casual
122,Centrino,Unisex,3499,2432,41,4.3,1067,Mid,Good,Casual
123,Centrino,Women,2799,1749,41,4.6,1050,Low-Mid,Excellent,Casual
124,Campus,Women,2799,2526,65,4.0,273,Mid,Average,Casual
125,Bata,Men,3499,2386,65,4.5,1113,Mid,Good,Casual
126,Woodland,Men,3499,1749,70,3.4,1750,Low-Mid,Average,Casual
127,Bacca Bucci,Men,2499,1304,70,4.1,1195,Low-Mid,Good,Casual
128,Campus,Men,2499,1199,70,3.6,1300,Low-Mid,Average,Casual
129,Campus,Men,2499,999,70,3.9,1500,Budget,Average,Casual
130,Campus,Men,2499,1899,63,4.0,600,Low-Mid,Average,Casual
131,U.S. Polo Assn.,Men,1499,1899,63,4.1,-400,Low-Mid,Good,Unknown
132,Skechers,Men,3995,1295,57,4.1,2700,Low-Mid,Good,Casual
133,Reebok,Men,3499,899,57,3.8,2600,Budget,Average,Casual
134,Campus,Men,3499,499,74,3.8,3000,Budget,Average,Casual
135,U.S. Polo Assn.,Men,2799,499,74,4.4,2300,Budget,Good,Casual
136,ASIAN,Women,2799,1004,55,4.0,1795,Low-Mid,Average,Unknown
