,Brand Name,Gender,MRP,Selling Price,Discount Percent,Rating,Discount Amount,Price_Category,Rating_Category,Usage_Type
349,Campus,Unknown,1699,849,50,,850,Budget,,Unknown
350,Bacca Bucci,Women,4999,499,65,4.1,4500,Budget,Good,Unknown
351,PUMA,Men,5999,899,65,,5100,Budget,,Unknown
352,Bacca Bucci,Men,2999,649,54,4.4,2350,Budget,Good,Casual
353,ASIAN,Men,2999,1199,54,5.0,1800,Low-Mid,Excellent,Casual
354,SPARX,Men,5499,3324,60,4.5,2175,Upper-Mid,Good,Casual
355,PUMA,Men,2499,3684,60,3.8,-1185,Upper-Mid,Average,Casual
356,Skechers,Men,1499,1304,35,4.1,195,Low-Mid,Good,Casual
357,Skechers,Men,3999,1199,35,5.0,2800,Low-Mid,Excellent,Casual
358,PUMA,Men,1049,849,53,4.1,200,Budget,Good,Casual
359,PUMA,Unisex,5999,1608,53,5.0,4391,Low-Mid,Excellent,Unknown
360,Campus,Men,4999,1199,31,3.0,3800,Low-Mid,Poor,Unknown
361,Bacca Bucci,Unisex,6999,1149,31,4.2,5850,Low-Mid,Good,Casual
362,PUMA,Men,3999,2104,57,4.1,1895,Mid,Good,Casual
363,Reebok,Unknown,6499,3314,57,4.3,3185,Upper-Mid,Good,Casual
364,SPARX,Women,2899,2089,56,4.2,810,Mid,Good,Casual
365,U.S. Polo Assn.,Men,3499,1982,56,3.6,1517,Low-Mid,Average,Casual
366,Campus,Unisex,4299,3419,66,3.5,880,Upper-Mid,Average,Unknown
367,adidas,Men,2599,1749,66,3.6,850,Low-Mid,Average,Unknown
368,PUMA,Men,999,2110,57,3.4,-1111,Mid,Average,Unknown
369,new balance,Men,4299,699,57,4.1,3600,Budget,Good,Unknown
370,PUMA,Unisex,2299,1229,64,3.9,1070,Low-Mid,Average,Casual
371,YOHO,Women,3999,1749,64,3.8,2250,Low-Mid,Average,Casual
372,Bata,Women,3999,1281,70,4.0,2718,Low-Mid,Average,Casual
373,Cruiser,Women,7499,1995,70,4.1,5504,Low-Mid,Good,Casual
374,Cruiser,Men,4499,2239,70,5.0,2260,Mid,Excellent,Unknown
375,Bacca Bucci,Men,3399,749,70,4.3,2650,Budget,Good,Casual
376,Cruiser,Men,999,849,63,5.0,150,Budget,Excellent,Unknown
377,Campus,Men,2499,499,63,4.1,2000,Budget,Good,Casual
378,Boldfit,Men,2499,849,57,4.0,1650,Budget,Average,Casual
379,Campus,Men,3499,2119,57,3.6,1380,Mid,Average,Casual
380,Boldfit,Women,2499,2518,63,3.8,-19,Mid,Average,Casual
381,Bacca Bucci,Women,1799,3409,63,4.3,-1610,Upper-Mid,Good,Unknown
382,Cruiser,Women,3299,549,64,4.3,2750,Budget,Good,Running
383,Cruiser,Women,3299,2098,64,4.1,1201,Mid,Good,Casual
384,Centrino,Men,4499,2519,66,4.1,1980,Mid,Good,Casual
385,U.S. Polo Assn.,Men,2699,1578,66,4.1,1121,Low-Mid,Good,Casual
386,Campus,Men,3499,1199,80,5.0,2300,Low-Mid,Excellent,Casual
387,adidas,Men,3499,1330,80,4.2,2169,Low-Mid,Good,Casual
388,Bacca Bucci,Men,2499,1749,58,3.8,750,Low-Mid,Average,Casual
389,Boldfit,Men,2499,1079,58,4.0,1420,Low-Mid,Average,Casual
390,Campus,Men,2499,694,40,3.9,1805,Budget,Average,Unknown
391,PUMA,Men,4299,660,40,4.0,3639,Budget,Average,Casual
392,new balance,Men,2299,3000,28,4.3,-701,Mid,Good,Unknown
393,PUMA,Men,3999,2555,28,4.6,1444,Mid,Excellent,Casual
394,YOHO,Men,3299,3138,70,3.8,161,Upper-Mid,Average,Sports
395,Bata,Men,3299,1589,70,4.1,1710,Low-Mid,Good,Unknown
396,Cruiser,Men,3499,2574,70,2.4,925,Mid,Poor,Casual
397,Theater,Men,2799,898,70,4.2,1901,Budget,Good,Running
398,Campus,Men,3999,1381,63,3.9,2618,Low-Mid,Average,Casual
399,PUMA,Men,7499,1199,63,4.0,6300,Low-Mid,Average,Unknown
400,new balance,Women,4499,1221,57,3.7,3278,Low-Mid,Average,Casual
401,SPARX,Women,3399,902,57,3.6,2497,Budget,Average,Casual
402,Skechers,Women,999,2149,54,4.1,-1150,Mid,Good,Casual
403,Campus,Men,2499,1099,54,4.2,1400,Low-Mid,Good,Running
404,Centrino,Men,2990,1909,36,4.0,1081,Low-Mid,Average,Running
405,Centrino,Men,1899,1299,36,4.0,600,Low-Mid,Average,Casual
406,Cruiser,Women,4499,4764,53,5.0,-265,Upper-Mid,Excellent,Unknown
407,Centrino,Men,5499,1755,53,4.1,3744,Low-Mid,Good,Casual
408,Reebok,Men,1049,1119,44,4.7,-70,Low-Mid,Excellent,Casual
409,Campus,Men,6999,642,44,4.1,6357,Budget,Good,Casual
410,Cruiser,Men,1699,899,50,3.4,800,Budget,Average,Casual
411,Cruiser,Men,2199,849,50,3.5,1350,Budget,Average,Casual
412,Cruiser,Women,2499,1304,67,3.3,1195,Low-Mid,Average,Casual
413,Campus,Men,2499,849,67,4.3,1650,Budget,Good,Casual
414,Bacca Bucci,Women,2499,799,57,4.6,1700,Budget,Excellent,Casual
415,Boldfit,Women,5299,1499,57,3.8,3800,Low-Mid,Average,Casual
416,Campus,Men,2499,899,52,4.0,1600,Budget,Average,Unknown
